<trait>;Environment;YLD_HN;PHT_HN;ASI_HN;ANT_HN;SLK_HN;YLD_LN;PHT_LN;ASI_LN;ANT_LN;SIL_LN;YLD_DIFF
BGEM-0226-S/PHZ51;Perse_Ames2014;11.77;317.83;NA;NA;NA;8.32;298.49;NA;NA;NA;3.45
BGEM-0227-N/PHB47;Perse_Ames2014;12.03;296.94;NA;NA;NA;8.03;265.6;NA;NA;NA;4
BGEM-0228-N/PHB47;Perse_Ames2014;10.8;322.37;NA;NA;NA;8.3;308.45;NA;NA;NA;2.5
BGEM-0233-S/PHZ51;Perse_Ames2014;11.2;323.28;NA;NA;NA;8.55;307.45;NA;NA;NA;2.66
BGEM-0235-N/PHB47;Perse_Ames2014;12.39;320.55;NA;NA;NA;8.63;296.49;NA;NA;NA;3.76
BGEM-0236-S/PHZ51;Perse_Ames2014;12.47;325.09;NA;NA;NA;7.98;303.47;NA;NA;NA;4.49
BGEM-0237-N/PHB47;Perse_Ames2014;10.86;340.53;NA;NA;NA;8.07;303.47;NA;NA;NA;2.79
BGEM-0239-N/PHB47;Perse_Ames2014;11.44;331.45;NA;NA;NA;8.45;301.47;NA;NA;NA;2.99
BGEM-0240-N/PHB47;Perse_Ames2014;11.55;325.09;NA;NA;NA;8.27;297.49;NA;NA;NA;3.28
BGEM-0242-N/PHB47;Perse_Ames2014;11.64;314.19;NA;NA;NA;8.42;296.49;NA;NA;NA;3.22
BGEM-0243-S/PHZ51;Perse_Ames2014;9.18;308.74;NA;NA;NA;8.08;289.52;NA;NA;NA;1.1
BGEM-0244-S/PHZ51;Perse_Ames2014;11.68;324.18;NA;NA;NA;8.01;294.5;NA;NA;NA;3.67
BGEM-0246-N/PHB47;Perse_Ames2014;11.67;315.1;NA;NA;NA;8.37;304.46;NA;NA;NA;3.29
BGEM-0247-N/PHB47;Perse_Ames2014;11.14;328.72;NA;NA;NA;8.43;309.45;NA;NA;NA;2.7
BGEM-0248-N/PHB47;Perse_Ames2014;11.52;316.92;NA;NA;NA;8.28;299.48;NA;NA;NA;3.24
BGEM-0250-S/PHZ51;Perse_Ames2014;11.02;346.89;NA;NA;NA;8.38;317.42;NA;NA;NA;2.63
BGEM-0252-S/PHZ51;Perse_Ames2014;11.07;335.08;NA;NA;NA;8.03;301.47;NA;NA;NA;3.03
BGEM-0253-N/PHB47;Perse_Ames2014;11.49;319.64;NA;NA;NA;8.46;287.52;NA;NA;NA;3.03
BGEM-0254-S/PHZ51;Perse_Ames2014;10.28;331.45;NA;NA;NA;8.17;304.46;NA;NA;NA;2.11
BGEM-0255-S/PHZ51;Perse_Ames2014;10.99;320.55;NA;NA;NA;7.96;297.49;NA;NA;NA;3.03
BGEM-0256-N/PHB47;Perse_Ames2014;11.14;321.46;NA;NA;NA;8.43;297.49;NA;NA;NA;2.71
BGEM-0257-S/PHZ51;Perse_Ames2014;10.64;315.1;NA;NA;NA;8.37;304.46;NA;NA;NA;2.27
BGEM-0258-S/PHZ51;Perse_Ames2014;9.31;323.28;NA;NA;NA;8.55;306.46;NA;NA;NA;0.76
BGEM-0259-N/PHB47;Perse_Ames2014;11.11;324.18;NA;NA;NA;8.22;304.46;NA;NA;NA;2.89
BGEM-0260-N/PHB47;Perse_Ames2014;12.73;301.48;NA;NA;NA;8.27;272.58;NA;NA;NA;4.46
BGEM-0261-S/PHZ51;Perse_Ames2014;10.57;310.56;NA;NA;NA;8.1;268.59;NA;NA;NA;2.48
BGEM-0265-S/PHZ51;Perse_Ames2014;10.33;306.02;NA;NA;NA;8.29;296.49;NA;NA;NA;2.05
BGEM-0266-S/PHZ51;Perse_Ames2014;8.96;266.96;NA;NA;NA;8.08;249.66;NA;NA;NA;0.88
BGEM-0268-S/PHZ51;Perse_Ames2014;11.24;326.91;NA;NA;NA;8.11;313.43;NA;NA;NA;3.13
BGEM-0269-S/PHZ51;Perse_Ames2014;11.46;292.39;NA;NA;NA;7.92;274.77;NA;NA;NA;3.54
BGEM-0270-S/PHZ51;Perse_Ames2014;11.91;321.46;NA;NA;NA;8.23;302.07;NA;NA;NA;3.69
PHB47/PHZ51;Perse_Ames2014;11.07;316.01;NA;NA;NA;8.35;299.48;NA;NA;NA;2.72
PHZ51/PHB47;Perse_Ames2014;9.93;315.1;NA;NA;NA;8.71;289.52;NA;NA;NA;1.22
BGEM-0001-N;Perse_Ames2015;2.32;259.49;23.08;817.1;840.64;0.81;180.16;58.89;890.94;956.67;1.51
BGEM-0003-N;Perse_Ames2015;2.71;268.94;15.31;857.56;872.25;0.94;200.33;44.65;915.55;956.67;1.77
BGEM-0005-N;Perse_Ames2015;3.02;240.58;4.8;835.17;837.58;1.17;185.66;24.13;869.01;887.73;1.85
BGEM-0006-S;Perse_Ames2015;2.47;251.92;0.62;821.29;818.8;1.2;202.16;21.19;846.67;864.67;1.27
BGEM-0008-S;Perse_Ames2015;1.73;214.11;53.84;826.61;885.88;0.78;176.49;64.25;895.69;968.45;0.95
BGEM-0010-S;Perse_Ames2015;3.58;240.58;4.8;838.23;840.64;0.97;176.49;30.31;875.17;901.89;2.61
BGEM-0011-S;Perse_Ames2015;2.88;238.69;9.77;877.45;885.78;0.94;170.99;45.13;910.31;952.98;1.94
BGEM-0012-S;Perse_Ames2015;2.84;234.91;4.8;806.96;809.26;1.33;159.99;27.05;831.93;860.78;1.51
BGEM-0013-S;Perse_Ames2015;2.67;221.67;4.8;796.65;798.91;1.08;181.99;18.75;842.05;857.24;1.59
BGEM-0018-S;Perse_Ames2015;2.67;229.23;38.18;826.61;867.72;0.89;198.49;55.29;895.69;955.43;1.78
BGEM-0019-S;Perse_Ames2015;3.05;236.8;-0.26;876.79;873.49;1.1;180.16;29.03;911.55;930.62;1.95
BGEM-0022-S;Perse_Ames2015;3.68;225.45;-3.97;838.23;830.47;0.97;169.16;32.68;890.94;918.59;2.71
BGEM-0023-S;Perse_Ames2015;3.74;223.56;9.39;826.61;834.31;1.56;192.99;18.75;853.88;867.19;2.18
BGEM-0024-S;Perse_Ames2015;2.58;233.01;4.8;784.86;787.08;1.08;180.16;30.93;837.84;871.4;1.49
BGEM-0025-S;Perse_Ames2015;3.39;251.92;-6.79;845.31;834.31;1.02;183.83;36.22;895.69;927.73;2.37
BGEM-0026-S;Perse_Ames2015;2.44;195.2;21.52;851.62;873.49;0.97;148.99;38.33;885.93;922.59;1.47
BGEM-0027-S;Perse_Ames2015;3.48;242.47;16.55;851.62;867.72;0.98;181.99;34.56;930.76;954.81;2.5
BGEM-0028-S;Perse_Ames2015;1.23;193.31;19.55;877.45;897.13;0.86;161.82;36.28;915.55;944.52;0.37
BGEM-0029-S;Perse_Ames2015;2.01;189.53;10.42;845.31;854.28;1.4;145.32;21.14;885.93;897.61;0.61
BGEM-0030-S;Perse_Ames2015;2.47;216;8.85;802.28;809.26;0.92;165.49;34.16;863.51;897.68;1.55
BGEM-0031-S;Perse_Ames2015;3.46;248.14;4.8;811.79;814.1;0.99;185.66;47.09;863.51;916.46;2.47
BGEM-0032-S;Perse_Ames2015;2.06;195.2;14.54;791.02;804.56;0.76;150.82;37.78;852.17;893.4;1.3
BGEM-0033-S;Perse_Ames2015;1.77;219.78;4.8;877.45;880.01;0.86;181.99;30.23;910.79;931.72;0.9
BGEM-0034-S;Perse_Ames2015;2.56;200.87;-17.55;877.45;854.08;1.1;167.32;23.94;900.78;914.17;1.46
BGEM-0035-S;Perse_Ames2015;3.02;214.11;9.77;851.81;860.05;0.83;174.66;45.15;880.27;927.73;2.19
BGEM-0036-S;Perse_Ames2015;1.66;193.31;25.43;865.2;891.65;0.8;159.99;47.57;875.17;926.96;0.86
BGEM-0037-S;Perse_Ames2015;4.68;204.65;27.67;811.79;840.64;1.19;167.32;33.77;819.44;860.05;3.48
BGEM-0039-N;Perse_Ames2015;2.04;219.78;32.71;844.53;879.36;0.94;181.99;38.97;875.17;914.47;1.1
BGEM-0040-N;Perse_Ames2015;2.84;221.67;10.42;851.62;860.61;0.83;172.82;38.97;890.94;927.73;2.02
BGEM-0041-S;Perse_Ames2015;3.71;237.55;4.8;851.81;854.28;0.94;185.66;36.45;874.1;909.91;2.76
BGEM-0042-S;Perse_Ames2015;2.48;223.56;4.8;826.61;828.98;0.88;163.66;37.16;858.34;897.68;1.6
BGEM-0044-S;Perse_Ames2015;3.05;240.58;25.85;863.4;890.34;1.22;192.99;38.76;875.17;914.17;1.82
BGEM-0045-N;Perse_Ames2015;2.75;255.7;4.8;857.56;860.05;0.91;209.5;21.19;890.94;901.89;1.84
BGEM-0046-N;Perse_Ames2015;2.81;214.11;13.72;796.65;809.26;0.97;178.33;38.6;844.01;887.73;1.84
BGEM-0047-S;Perse_Ames2015;3.72;217.89;4.8;806.16;808.45;1.47;180.16;18.75;836.55;852.62;2.24
BGEM-0048-S;Perse_Ames2015;3.11;219.78;10.93;844.53;854.08;1.1;165.49;31.51;846.67;879.66;2.01
BGEM-0049-S;Perse_Ames2015;2.09;259.86;9.39;821.29;828.98;0.9;178.33;37.77;910.9;942.78;1.19
BGEM-0050-S;Perse_Ames2015;2.58;236.8;9.67;796.65;804.56;1.27;185.66;21.19;842.05;860.78;1.3
BGEM-0051-S;Perse_Ames2015;2.44;244.36;16.55;828.09;844.1;1.27;215;31.61;852.17;884.43;1.17
BGEM-0052-S;Perse_Ames2015;1.84;219.78;10.25;831.92;840.64;0.71;176.49;29.93;895.69;918.59;1.13
BGEM-0054-S;Perse_Ames2015;2.16;236.8;19.03;816.47;835.31;2.05;196.66;64.59;846.67;927.73;0.11
BGEM-0055-S;Perse_Ames2015;2.38;216;4.8;823.41;825.77;0.75;159.99;28.33;852.17;879.66;1.62
BGEM-0059-S;Perse_Ames2015;1.61;216;9.77;865.2;873.49;1.28;170.99;21.77;854.68;872.25;0.32
BGEM-0061-N;Perse_Ames2015;1.42;221.67;35.1;911.29;949.14;1.76;170.99;47.04;915.55;960.15;-0.34
BGEM-0063-N;Perse_Ames2015;1.78;231.12;31.16;821.78;854.72;0.85;194.83;33.06;880.27;910.17;0.92
BGEM-0066-N;Perse_Ames2015;2.23;204.65;4.8;802.28;804.56;0.74;158.16;26.9;895.69;914.19;1.49
BGEM-0067-S;Perse_Ames2015;4.3;219.78;-0.07;806.96;803.61;1.04;174.66;24.37;832.35;857.24;3.26
BGEM-0068-S;Perse_Ames2015;2.7;217.89;13.84;801.33;814.1;0.99;170.99;29.8;844.01;874.94;1.7
BGEM-0070-S;Perse_Ames2015;2.26;221.67;4.8;870.95;873.49;1.16;183.83;29.74;859.77;888.1;1.1
BGEM-0071-S;Perse_Ames2015;1.61;225.45;20.98;826.61;847.75;0.83;167.32;35.3;885.93;918.19;0.78
BGEM-0072-S;Perse_Ames2015;1.52;234.91;4.8;883.2;885.78;0.86;194.83;38.02;900.46;934.35;0.65
BGEM-0073-S;Perse_Ames2015;1.64;202.76;10.42;845.31;854.28;0.77;141.66;37.77;920.74;951.06;0.88
BGEM-0074-S;Perse_Ames2015;1.58;206.54;20.6;823.41;844.1;1.13;170.99;24.37;863.51;883.45;0.45
BGEM-0078-S;Perse_Ames2015;1.54;214.11;43.43;806.96;854.08;0.88;192.99;39.23;832.35;878.83;0.66
BGEM-0079-S;Perse_Ames2015;2.17;233.01;18.59;791.02;809.26;1.06;167.32;35.41;828.27;869.86;1.12
BGEM-0080-S;Perse_Ames2015;3.54;216;9.39;811.79;819.44;1.15;194.83;34.2;815.36;857.24;2.38
BGEM-0082-S;Perse_Ames2015;1.75;185.75;26.29;713.59;740.47;0.88;156.32;48.63;771.34;841.18;0.87
BGEM-0083-S;Perse_Ames2015;3.11;246.25;10.93;838.23;847.75;1.07;180.16;27.47;888.86;909.28;2.04
BGEM-0085-N;Perse_Ames2015;1.8;217.89;30.78;816.47;848.95;0.84;183.83;45.15;875.17;923.44;0.96
BGEM-0087-N;Perse_Ames2015;1.38;259.49;19.95;911.84;932.12;0.79;211.33;44.05;930.8;968.63;0.59
BGEM-0088-N;Perse_Ames2015;1.6;229.23;24.61;877.45;903;0.91;181.99;54.86;895.69;954.81;0.69
BGEM-0089-N;Perse_Ames2015;1.69;202.76;13.15;811.64;823.65;0.84;156.32;40.63;846.67;892.92;0.84
BGEM-0090-N;Perse_Ames2015;1.87;242.47;67.27;857.56;932.53;0.88;189.33;73.19;870.17;959.98;0.98
BGEM-0094-S;Perse_Ames2015;2.38;202.76;29.12;770.36;800.74;0.77;154.49;31.25;814.54;852.26;1.61
BGEM-0095-S;Perse_Ames2015;3.16;219.78;15.12;811.47;825.77;1.13;163.66;36.24;852.84;891.73;2.03
BGEM-0097-S;Perse_Ames2015;2.28;212.22;4.8;865.2;867.72;0.96;159.99;21.19;905.53;914.17;1.31
BGEM-0099-S;Perse_Ames2015;1.34;208.44;4.8;816.47;818.8;0.94;176.49;24.46;858.34;879.24;0.4
BGEM-0100-S;Perse_Ames2015;2.07;219.78;-6.79;845.31;834.31;0.9;165.49;27.08;885.84;906.17;1.17
BGEM-0102-N;Perse_Ames2015;1.31;216;60.24;858.7;925.52;0.75;170.99;63.42;936.42;1001.5;0.56
BGEM-0107-N;Perse_Ames2015;1.74;210.33;14.58;863.87;877.73;1.48;196.66;27.03;880.84;901.89;0.26
BGEM-0108-S;Perse_Ames2015;2.25;210.33;14.58;847.42;861.22;1.11;180.16;33.21;870.17;901.89;1.14
BGEM-0110-N;Perse_Ames2015;1.91;216;0.75;806.96;804.56;0.95;180.16;39.23;827.72;874.94;0.96
BGEM-0120-N;Perse_Ames2015;1.85;206.54;57.15;845.31;908.5;0.81;174.66;42.59;910.31;949.28;1.04
BGEM-0121-N;Perse_Ames2015;2.69;253.81;4.8;880.36;882.94;0.98;187.49;44.85;910.79;952.98;1.72
BGEM-0122-N;Perse_Ames2015;4.55;240.58;37.58;845.31;885.78;1.03;191.16;24.13;885.84;901.89;3.52
BGEM-0124-N;Perse_Ames2015;2.04;236.8;58.56;836.99;901.78;0.96;205.83;71.65;864.51;952.98;1.08
BGEM-0125-N;Perse_Ames2015;2.17;236.8;16.38;857.56;873.49;1.35;192.99;35.83;885.02;918.19;0.82
BGEM-0126-N;Perse_Ames2015;2.01;229.23;36.76;831.92;871.4;0.72;178.33;66.11;915.55;987.86;1.29
BGEM-0127-N;Perse_Ames2015;1.55;223.56;15.4;830.49;845.17;0.71;181.99;29.47;849.67;879.22;0.84
BGEM-0129-N;Perse_Ames2015;1.84;193.31;16.38;826.61;842.42;1.06;158.16;30.31;870.17;897.68;0.78
BGEM-0130-N;Perse_Ames2015;1.61;219.78;58.35;821.29;885.78;0.98;189.33;38.77;875.17;914.19;0.63
BGEM-0131-N;Perse_Ames2015;1.36;204.65;46.07;863.55;913.96;0.88;172.82;59.41;873.36;942.63;0.48
BGEM-0133-S;Perse_Ames2015;2.51;231.12;13.57;816.47;828.98;1.17;189.33;40.73;852.17;897.68;1.34
BGEM-0134-S;Perse_Ames2015;1.69;236.8;14.83;858.12;872.25;0.89;194.83;35.63;885.84;918.59;0.8
BGEM-0136-S;Perse_Ames2015;3.05;210.33;26.1;793.16;820.12;1.21;176.49;33.3;831.93;869.86;1.84
BGEM-0137-S;Perse_Ames2015;3.73;212.22;4.8;784.86;787.08;1.65;185.66;38.57;828.86;874.94;2.08
BGEM-0138-S;Perse_Ames2015;1.97;240.58;8.97;811.64;818.8;1.13;180.16;30.93;852.17;883.45;0.84
BGEM-0140-N;Perse_Ames2015;2.67;229.23;26.98;821.78;849.87;0.98;187.49;59.79;864.51;935.74;1.69
BGEM-0141-N;Perse_Ames2015;1.69;183.86;8.97;806.96;814.1;1.17;169.16;44.85;827.72;883.11;0.52
BGEM-0143-N;Perse_Ames2015;2.73;234.91;10.25;821.78;830.47;1.02;189.33;21.19;875.17;888.64;1.71
BGEM-0144-N;Perse_Ames2015;2.66;234.91;23.62;816.47;840.64;0.87;196.66;43.68;859.77;908.36;1.79
BGEM-0145-N;Perse_Ames2015;1.77;227.34;25.15;821.78;847.75;0.83;180.16;43.24;852.84;901.89;0.94
BGEM-0146-N;Perse_Ames2015;1.46;231.12;52.77;868.86;927.06;0.84;196.66;38.21;910.31;942.92;0.63
BGEM-0149-S;Perse_Ames2015;3.85;242.47;9.67;817.78;825.77;0.94;176.49;37.69;846.67;888.64;2.91
BGEM-0150-S;Perse_Ames2015;2.71;181.96;4.8;838.23;840.64;0.91;143.49;28.04;858.34;884.43;1.8
BGEM-0151-N;Perse_Ames2015;2.19;214.11;16.38;863.4;879.36;1.05;163.66;30.31;875.17;901.89;1.14
BGEM-0152-N;Perse_Ames2015;2.74;250.03;0.75;828.09;825.77;1.12;183.83;24.37;852.84;874.47;1.62
BGEM-0153-S;Perse_Ames2015;2.61;238.69;4.8;838.23;840.64;0.98;174.66;59.24;873.36;942.39;1.62
BGEM-0154-S;Perse_Ames2015;1.4;231.12;58.41;832.91;897.52;0.86;185.66;41.39;885.84;926.96;0.54
BGEM-0155-S;Perse_Ames2015;2.02;246.25;22.01;845.31;867.72;0.73;196.66;57.99;905.53;967.63;1.29
BGEM-0157-N;Perse_Ames2015;1.57;225.45;43.7;838.23;885.78;1.44;189.33;38.24;930.8;960.19;0.13
BGEM-0158-S;Perse_Ames2015;3.08;289.74;38.16;838.23;879.36;1.21;200.33;38.86;875.17;914.31;1.88
BGEM-0159-S;Perse_Ames2015;2.23;244.36;4.8;846.5;848.95;1;203.99;51.26;869.01;927.14;1.23
BGEM-0160-S;Perse_Ames2015;2.14;242.47;4.8;870.95;873.49;0.92;183.83;36.21;947.28;971.1;1.22
BGEM-0161-S;Perse_Ames2015;2.14;236.8;4.8;838.23;840.64;0.98;187.49;36.49;864.51;901.89;1.16
BGEM-0162-S;Perse_Ames2015;3.53;214.11;10.25;821.78;830.47;1.24;183.83;32.99;848.22;883.11;2.29
BGEM-0164-S;Perse_Ames2015;2.23;225.45;0.62;826.61;824.14;1.25;176.49;29.74;874.1;900.15;0.99
BGEM-0165-S;Perse_Ames2015;2.01;255.7;34.95;870.95;908.48;0.81;196.66;54.72;890.68;950.4;1.2
BGEM-0166-S;Perse_Ames2015;1.73;242.47;4.82;905.81;908.5;0.79;196.66;35.11;960.21;980.37;0.94
BGEM-0167-S;Perse_Ames2015;1.97;208.44;5.22;821.29;824.14;0.9;169.16;30.31;858.34;887.73;1.07
BGEM-0169-S;Perse_Ames2015;2.43;214.11;14.83;858.12;872.25;1.19;172.82;64.36;864.51;942.39;1.24
BGEM-0170-S;Perse_Ames2015;2.23;221.67;20.7;863.87;884.84;0.95;187.49;40.06;858.34;901.89;1.28
BGEM-0172-S;Perse_Ames2015;2.36;263.27;-0.83;888.75;884.84;1.22;215;40.25;921.65;955.43;1.14
BGEM-0173-S;Perse_Ames2015;1.63;234.91;10.67;821.29;830.47;0.91;194.83;33.22;869.01;900.93;0.72
BGEM-0174-N;Perse_Ames2015;3.05;206.54;20.45;876.79;897.52;0.95;174.66;44.43;863.98;912.98;2.11
BGEM-0175-S;Perse_Ames2015;2.22;238.69;30.06;876.79;908.67;0.85;178.33;52.74;905.7;960.15;1.37
BGEM-0182-N;Perse_Ames2015;2.79;244.36;10.25;826.61;835.31;1.02;187.49;26.89;890.94;910.17;1.77
BGEM-0184-N;Perse_Ames2015;2.49;216;15;790.49;804.56;1.65;181.99;30.37;832.35;865.96;0.84
BGEM-0186-S;Perse_Ames2015;3.01;216;10.93;832.91;842.42;1.12;181.99;28.04;874.1;897.68;1.89
BGEM-0187-S;Perse_Ames2015;1.53;197.09;42.63;845.31;891.65;0.76;154.49;44.77;895.69;940.15;0.77
BGEM-0188-S;Perse_Ames2015;1.69;236.8;15.88;845.31;860.61;0.79;200.33;27.36;880.27;901.89;0.9
BGEM-0190-N;Perse_Ames2015;2.56;206.54;48.57;806.96;860.05;1.19;180.16;52.51;880.84;938.9;1.37
BGEM-0191-N;Perse_Ames2015;1.7;216;40.83;858.7;903;0.77;156.32;63.69;895.69;967.63;0.93
BGEM-0192-N;Perse_Ames2015;1.45;212.22;21.44;857.56;879.36;1.02;187.49;27.08;885.84;906.17;0.42
BGEM-0193-N;Perse_Ames2015;1.43;227.34;4.8;863.4;865.92;0.89;194.83;36.22;895.69;927.73;0.54
BGEM-0196-N;Perse_Ames2015;1.73;246.25;54.22;831.92;891.65;1.09;198.49;48.72;858.34;914.47;0.64
BGEM-0198-S;Perse_Ames2015;1.58;251.92;1.48;831.92;830.47;0.96;215;30.31;864.51;892.92;0.61
BGEM-0199-S;Perse_Ames2015;3.47;250.03;0.2;826.61;823.65;0.89;196.66;38.86;858.34;900.15;2.57
BGEM-0200-S;Perse_Ames2015;2.43;223.56;9.77;883.29;891.65;1.04;180.16;55.4;905.55;963.89;1.39
BGEM-0201-N;Perse_Ames2015;1.4;208.44;67.08;845.31;920.02;0.87;172.82;50.64;875.17;931.42;0.52
BGEM-0202-N;Perse_Ames2015;2.01;198.98;9.86;870.95;879.36;1.13;161.82;23.95;905.53;918.19;0.88
BGEM-0203-N;Perse_Ames2015;1.86;225.45;57.55;816.47;880.01;0.81;176.49;52.28;885.84;942.78;1.05
BGEM-0204-N;Perse_Ames2015;2.13;253.81;5.66;831.92;835.31;0.82;215;24.13;875.17;892.92;1.3
BGEM-0205-N;Perse_Ames2015;2.69;229.23;15.4;840;854.72;0.92;183.83;38.21;900.78;934.91;1.77
BGEM-0206-N;Perse_Ames2015;2.19;204.65;9.52;858.09;866.06;0.96;169.16;38.86;885.02;922.59;1.23
BGEM-0207-N;Perse_Ames2015;2.1;210.33;8.97;806.96;814.1;0.88;165.49;29.25;854.68;883.11;1.23
BGEM-0208-N;Perse_Ames2015;2.6;244.36;31.3;802.28;835.31;0.99;192.99;40.87;841.18;888.64;1.61
BGEM-0210-N;Perse_Ames2015;1.49;251.92;42.63;845.31;891.65;0.86;185.66;58.34;896.03;960.15;0.63
BGEM-0211-N;Perse_Ames2015;4.14;231.12;26.08;858.7;885.88;1.06;189.33;41.72;890.94;931.72;3.08
BGEM-0213-S;Perse_Ames2015;3.38;257.59;-0.66;858.12;854.28;1.23;200.33;15.01;885.84;888.64;2.15
BGEM-0215-N;Perse_Ames2015;2.75;214.11;19.19;835.17;854.28;0.91;192.99;37.69;846.67;888.64;1.84
BGEM-0216-N;Perse_Ames2015;1.63;200.87;60.24;858.7;925.52;0.88;154.49;47.53;910.31;956.46;0.76
BGEM-0218-S;Perse_Ames2015;1.66;221.67;25.32;828.09;854.28;1.1;176.49;30.93;846.67;878.83;0.56
BGEM-0221-S;Perse_Ames2015;3.76;233.01;13.57;806.96;819.44;0.99;170.99;34.79;846.67;884.43;2.77
BGEM-0222-S;Perse_Ames2015;3.14;221.67;17.62;817.1;834.31;1.3;174.66;40.06;858.34;901.89;1.85
BGEM-0223-N;Perse_Ames2015;1.28;223.56;50.63;876.79;932.53;0.76;178.33;37.28;926.05;954.81;0.52
BGEM-0224-N;Perse_Ames2015;1.39;181.96;43.58;917.3;965.01;1.26;163.66;60.19;910.31;974.85;0.13
BGEM-0225-N;Perse_Ames2015;1.33;223.56;106.78;894.5;1015.46;0.87;181.99;80.36;905.53;1000.13;0.45
